description						type								st_astext
Garage							GARAGE								POLYGON((-66.083074 18.389347,-66.081454 18.389704,-66.080853 18.389388,-66.080746 18.389123,-66.080328 18.388961,-66.079523 18.388533,-66.07918 18.388268,-66.079351 18.387922,-66.080725 18.387494,-66.081068 18.387311,-66.081111 18.386833,-66.081883 18.387118,-66.082795 18.387556,-66.083074 18.389347))
26								ROUTE								POLYGON((-66.052347 18.40187,-66.045781 18.401819,-66.045727 18.400404,-66.043249 18.400312,-66.043254 18.39964,-66.043206 18.39851,-66.040996 18.398714,-66.03973 18.398673,-66.038517 18.398581,-66.037112 18.398429,-66.035073 18.398164,-66.031115 18.397797,-66.031061 18.395558,-66.031039 18.394682,-66.030954 18.393033,-66.030728 18.391149,-66.030428 18.389388,-66.030342 18.388869,-66.032617 18.388085,-66.033947 18.387596,-66.035642 18.386985,-66.036393 18.386578,-66.036736 18.385764,-66.03693 18.385173,-66.036887 18.384522,-66.036543 18.384542,-66.035664 18.384542,-66.034634 18.384542,-66.033732 18.384583,-66.03296 18.38442,-66.032187 18.38387,-66.031286 18.38332,-66.030364 18.382791,-66.029827 18.382445,-66.029376 18.3822,-66.029001 18.381874,-66.028465 18.381915,-66.027789 18.38216,-66.026995 18.382363,-66.02648 18.382506,-66.026297 18.381712,-66.026018 18.381223,-66.025439 18.380347,-66.02516 18.380083,-66.024763 18.379492,-66.025289 18.379268,-66.025482 18.378942,-66.025718 18.378453,-66.025847 18.377965,-66.02589 18.377211,-66.025911 18.376356,-66.025933 18.375501,-66.02589 18.374625,-66.025696 18.373505,-66.025482 18.372202,-66.025375 18.371795,-66.025182 18.370878,-66.025096 18.370471,-66.024945 18.369962,-66.025439 18.36986,-66.026458 18.369717,-66.027703 18.369636,-66.0306 18.369371,-66.032853 18.369331,-66.034355 18.369331,-66.03502 18.369392,-66.035706 18.369636,-66.036565 18.369901,-66.037327 18.370552,-66.038013 18.370939,-66.038743 18.371347,-66.039344 18.371754,-66.039966 18.372202,-66.040416 18.372691,-66.040867 18.373546,-66.041189 18.374605,-66.041629 18.375704,-66.041886 18.376539,-66.041157 18.376784,-66.040105 18.376641,-66.038668 18.376173,-66.037927 18.375867,-66.036983 18.375297,-66.036339 18.374992,-66.035782 18.374646,-66.035267 18.374238,-66.034601 18.373912,-66.03385 18.373587,-66.0334 18.373546,-66.032606 18.373424,-66.032027 18.373505,-66.031147 18.373587,-66.030567 18.373831,-66.030567 18.374584,-66.030095 18.37548,-66.029666 18.375847,-66.029055 18.37603,-66.028486 18.376315,-66.027756 18.376356,-66.027177 18.376397,-66.026748 18.376437,-66.026383 18.376478,-66.026276 18.377089,-66.026351 18.377435,-66.026211 18.378311,-66.026083 18.378881,-66.025761 18.379451,-66.025654 18.380123,-66.026362 18.381141,-66.026716 18.381467,-66.027188 18.381549,-66.027789 18.381508,-66.028389 18.381325,-66.028969 18.381202,-66.02957 18.381549,-66.030192 18.381752,-66.030793 18.382221,-66.03163 18.38273,-66.032574 18.383422,-66.033421 18.384074,-66.034355 18.383992,-66.035127 18.383931,-66.0362 18.38389,-66.03708 18.38385,-66.037391 18.384379,-66.037391 18.385153,-66.037284 18.385784,-66.037069 18.386497,-66.036747 18.387148,-66.036254 18.387596,-66.035653 18.387902,-66.034988 18.388044,-66.034301 18.38837,-66.033335 18.388696,-66.032413 18.389001,-66.031361 18.389246,-66.031018 18.389694,-66.031211 18.390345,-66.031426 18.391343,-66.031619 18.392178,-66.031683 18.393338,-66.031705 18.394417,-66.032059 18.39454,-66.032874 18.394438,-66.033475 18.394397,-66.034204 18.394336,-66.034998 18.394336,-66.036243 18.394377,-66.037187 18.394377,-66.038947 18.39456,-66.03944 18.394621,-66.040105 18.394519,-66.040835 18.394641,-66.041736 18.394743,-66.042637 18.394764,-66.04341 18.394743,-66.047937 18.394927,-66.04901 18.394499,-66.051027 18.394621,-66.052551 18.395619,-66.053409 18.396535,-66.053012 18.39796,-66.05283 18.398632,-66.052529 18.399823,-66.052347 18.40187))
7								ROUTE								POLYGON((-66.053495 18.396189,-66.05062 18.394927,-66.032831 18.394234,-66.017532 18.396454,-66.001138 18.396902,-66.000044 18.391343,-65.992898 18.393135,-65.995259 18.398836,-65.996246 18.400567,-66.002554 18.405494,-65.996954 18.413006,-65.99219 18.414696,-65.993644 18.420631,-65.991268 18.421206,-65.991611 18.422132,-65.99285 18.421822,-65.992754 18.42144,-65.994459 18.421002,-65.99322 18.415531,-65.998263 18.413434,-66.003863 18.405086,-65.996031 18.39849,-66.019012 18.397288,-66.025986 18.396555,-66.030771 18.395497,-66.03635 18.394947,-66.042337 18.395639,-66.043174 18.402277,-66.052401 18.401768,-66.053495 18.396189))
6								ROUTE								POLYGON((-65.993371 18.421211,-65.994486 18.421028,-65.99425 18.419806,-65.993821 18.418015,-65.993306 18.415857,-65.993134 18.414676,-65.991997 18.41492,-65.99086 18.415103,-65.990023 18.415185,-65.987448 18.415816,-65.986268 18.416081,-65.984755 18.416569,-65.98438 18.4166,-65.983897 18.416752,-65.983382 18.416895,-65.981075 18.417709,-65.979369 18.418524,-65.978683 18.418717,-65.978114 18.418758,-65.978125 18.417109,-65.978125 18.415551,-65.978125 18.413739,-65.978157 18.412212,-65.978125 18.411907,-65.97776 18.410482,-65.977191 18.408558,-65.977374 18.40812,-65.977846 18.407061,-65.97791 18.406736,-65.9779 18.406135,-65.977975 18.404516,-65.978039 18.402918,-65.978082 18.401065,-65.978178 18.399223,-65.978232 18.397339,-65.978189 18.396077,-65.978125 18.395853,-65.976794 18.395436,-65.976097 18.395079,-65.975528 18.394723,-65.974391 18.393868,-65.972074 18.392381,-65.970926 18.391659,-65.970143 18.391343,-65.969091 18.391048,-65.967128 18.391037,-65.965658 18.391139,-65.965486 18.389683,-65.965164 18.387545,-65.96495 18.385346,-65.964725 18.384522,-65.963115 18.384756,-65.961055 18.385082,-65.958952 18.385356,-65.956828 18.385652,-65.955272 18.385855,-65.953969 18.386247,-65.953942 18.386125,-65.953749 18.385911,-65.953524 18.385937,-65.953352 18.386171,-65.953384 18.386558,-65.953867 18.386487,-65.954875 18.386425,-65.956496 18.386201,-65.958695 18.385845,-65.961313 18.385448,-65.963695 18.385153,-65.96436 18.38502,-65.964413 18.385244,-65.964574 18.386853,-65.964746 18.388981,-65.96495 18.389734,-65.965036 18.390559,-65.965154 18.391526,-65.966752 18.391587,-65.968179 18.391516,-65.969005 18.391567,-65.969831 18.391669,-65.970518 18.392015,-65.972557 18.393318,-65.974552 18.394652,-65.975614 18.395324,-65.976129 18.395649,-65.976483 18.395853,-65.97702 18.396077,-65.977814 18.396321,-65.977824 18.396728,-65.977782 18.397187,-65.977717 18.398042,-65.977685 18.399477,-65.977674 18.400913,-65.977578 18.402694,-65.977492 18.404476,-65.977492 18.406685,-65.976891 18.407988,-65.976773 18.408375,-65.976902 18.409067,-65.977417 18.411062,-65.977556 18.411724,-65.977621 18.412711,-65.977631 18.413403,-65.977503 18.415419,-65.977578 18.417353,-65.97776 18.419236,-65.978618 18.419114,-65.979348 18.418972,-65.980904 18.418442,-65.982846 18.41776,-65.983575 18.417455,-65.984154 18.417241,-65.984755 18.41717,-65.985882 18.417037,-65.986869 18.416773,-65.987813 18.41659,-65.989036 18.416305,-65.990388 18.41602,-65.992555 18.415531,-65.992791 18.416936,-65.993263 18.419195,-65.993628 18.420519,-65.991375 18.420865,-65.991729 18.421842,-65.993075 18.421674,-65.993371 18.421211))
18								ROUTE								POLYGON((-66.046918 18.357987,-66.046671 18.359372,-66.048774 18.362101,-66.049375 18.363852,-66.045942 18.365156,-66.043024 18.364952,-66.043195 18.362997,-66.04341 18.361775,-66.045899 18.359494,-66.046071 18.358843,-66.046285 18.357865,-66.046457 18.357213,-66.053237 18.357702,-66.054321 18.357692,-66.05431 18.358608,-66.054525 18.359942,-66.054739 18.36092,-66.055297 18.361429,-66.05592 18.362101,-66.059846 18.364728,-66.060769 18.365624,-66.061456 18.365848,-66.062657 18.366113,-66.063559 18.366887,-66.065018 18.368964,-66.066927 18.369412,-66.066895 18.372212,-66.065694 18.371937,-66.061542 18.371265,-66.058623 18.370736,-66.056928 18.370532,-66.052165 18.369412,-66.052443 18.371021,-66.053152 18.372711,-66.053988 18.374544,-66.054954 18.376845,-66.055233 18.378291,-66.056027 18.37992,-66.056799 18.382506,-66.058452 18.383524,-66.060383 18.383829,-66.061348 18.384399,-66.061692 18.385804,-66.06167 18.38782,-66.062421 18.388716,-66.063752 18.389633,-66.06255 18.391221,-66.059846 18.392789,-66.056928 18.394499,-66.055812 18.395639,-66.055694 18.396067,-66.055909 18.396779,-66.055963 18.397533,-66.056499 18.399813,-66.056692 18.401971,-66.056756 18.404089,-66.056864 18.406654,-66.056746 18.408202,-66.053978 18.408344,-66.052551 18.408415,-66.051821 18.406349,-66.051821 18.403336,-66.051907 18.401686,-66.050555 18.401361,-66.045845 18.401747,-66.043045 18.402216,-66.043088 18.39965,-66.046135 18.399671,-66.046049 18.401381,-66.050255 18.400953,-66.051692 18.400994,-66.052486 18.401523,-66.052186 18.405952,-66.052615 18.407224,-66.056241 18.407224,-66.055297 18.398551,-66.053366 18.395863,-66.058452 18.392605,-66.061649 18.388981,-66.061048 18.388228,-66.06064 18.385071,-66.059675 18.384481,-66.056349 18.38332,-66.050759 18.368322,-66.066327 18.371163,-66.066412 18.370104,-66.064503 18.369229,-66.062486 18.366989,-66.060855 18.366459,-66.053656 18.361144,-66.053409 18.358272,-66.046918 18.357987))
22								ROUTE								POLYGON((-66.058795 18.436112,-66.061134 18.436051,-66.061048 18.433527,-66.060061 18.43082,-66.05916 18.426361,-66.063494 18.425262,-66.064524 18.428845,-66.074481 18.425995,-66.075768 18.425588,-66.078128 18.424448,-66.074481 18.417567,-66.070618 18.419358,-66.067485 18.42058,-66.057626 18.422911,-66.056703 18.423298,-66.057057 18.42455,-66.057357 18.425364,-66.057583 18.426046,-66.058516 18.430769,-66.058795 18.436112))
44								ROUTE								POLYGON((-65.992823 18.421343,-65.994476 18.420967,-65.994175 18.419562,-65.993424 18.416691,-65.992995 18.415124,-65.992845 18.414706,-65.990302 18.415327,-65.988124 18.415806,-65.985871 18.416193,-65.985013 18.416427,-65.984262 18.41661,-65.983768 18.416854,-65.983371 18.416936,-65.981043 18.417801,-65.979337 18.418473,-65.978018 18.418748,-65.97644 18.418972,-65.972943 18.418442,-65.970743 18.418096,-65.969005 18.417852,-65.968297 18.41776,-65.967814 18.417842,-65.965862 18.418239,-65.96186 18.418605,-65.959199 18.418625,-65.957729 18.418554,-65.957815 18.416284,-65.957676 18.414615,-65.957579 18.413607,-65.957547 18.413118,-65.957053 18.411714,-65.957536 18.411673,-65.959285 18.411703,-65.960851 18.411663,-65.964113 18.411602,-65.965336 18.41152,-65.965454 18.410115,-65.965594 18.408914,-65.965883 18.407947,-65.966516 18.406848,-65.966634 18.40644,-65.966656 18.405758,-65.964671 18.405901,-65.96275 18.405982,-65.960336 18.406054,-65.959585 18.405962,-65.959553 18.404476,-65.959521 18.40359,-65.959392 18.402867,-65.95847 18.401758,-65.957901 18.401096,-65.956367 18.399213,-65.955197 18.39793,-65.954779 18.397451,-65.954382 18.396525,-65.955101 18.396331,-65.956206 18.396209,-65.957322 18.39623,-65.958201 18.396169,-65.959242 18.396107,-65.961699 18.396016,-65.96186 18.400322,-65.961914 18.401025,-65.965272 18.400953,-65.965958 18.399223,-65.965926 18.395598,-65.96583 18.39341,-65.965604 18.391099,-65.962643 18.391129,-65.95788 18.391211,-65.95465 18.391577,-65.952494 18.391424,-65.952987 18.388278,-65.953223 18.386914,-65.953384 18.386639,-65.95377 18.386568,-65.954403 18.386446,-65.954189 18.38612,-65.953921 18.385967,-65.953524 18.3861,-65.95332 18.38612,-65.953084 18.386222,-65.952869 18.386395,-65.952676 18.387087,-65.952579 18.387708,-65.952537 18.388299,-65.95244 18.388899,-65.952322 18.389765,-65.952193 18.39059,-65.952043 18.39172,-65.952923 18.391842,-65.953588 18.391913,-65.954339 18.391964,-65.955058 18.391974,-65.956538 18.391852,-65.957611 18.39174,-65.959081 18.39174,-65.96112 18.39174,-65.962901 18.391628,-65.96524 18.391597,-65.965304 18.392137,-65.96539 18.392982,-65.965379 18.393572,-65.96539 18.395273,-65.965454 18.396118,-65.965508 18.397787,-65.965518 18.398673,-65.965465 18.399233,-65.965207 18.400027,-65.964961 18.400455,-65.963823 18.400516,-65.962268 18.400577,-65.962246 18.399121,-65.962203 18.397461,-65.962053 18.395619,-65.959188 18.395598,-65.957697 18.395639,-65.955498 18.395741,-65.954457 18.395965,-65.953781 18.396413,-65.954275 18.397512,-65.954554 18.397909,-65.955616 18.399335,-65.956968 18.40075,-65.958105 18.402053,-65.958942 18.403091,-65.95906 18.404007,-65.959038 18.404944,-65.959188 18.406797,-65.96598 18.406532,-65.965851 18.406776,-65.965604 18.407173,-65.965358 18.407662,-65.965057 18.408619,-65.964928 18.409199,-65.964896 18.40982,-65.964896 18.411001,-65.960304 18.411103,-65.959414 18.411184,-65.95759 18.411317,-65.956581 18.411418,-65.956882 18.413129,-65.957021 18.413902,-65.957043 18.416956,-65.95715 18.419226,-65.960294 18.419083,-65.961774 18.419043,-65.963416 18.418982,-65.964403 18.4189,-65.965819 18.418697,-65.966945 18.418452,-65.967546 18.41831,-65.968104 18.418208,-65.96863 18.418239,-65.97084 18.418564,-65.972943 18.41888,-65.974584 18.419165,-65.976269 18.419348,-65.977782 18.419277,-65.978972 18.419114,-65.979434 18.418972,-65.980861 18.418401,-65.982706 18.41776,-65.983479 18.417414,-65.984015 18.417272,-65.984423 18.41716,-65.98468 18.417119,-65.984938 18.417088,-65.985624 18.416925,-65.986418 18.416732,-65.987083 18.416549,-65.98806 18.416386,-65.9891 18.416193,-65.990366 18.415867,-65.992534 18.415439,-65.992738 18.416518,-65.993403 18.419287,-65.993682 18.420722,-65.991284 18.421297,-65.991616 18.422137,-65.992775 18.421903,-65.992823 18.421343))
11								ROUTE								POLYGON((-66.059246 18.435237,-66.058988 18.437497,-66.054289 18.437171,-66.050491 18.435339,-66.043775 18.434321,-66.043002 18.434708,-66.042315 18.436967,-66.044955 18.437782,-66.046135 18.438881,-66.053173 18.44226,-66.052165 18.446474,-66.052132 18.449761,-66.04488 18.448784,-66.043603 18.449344,-66.042873 18.448448,-66.038024 18.446606,-66.037133 18.449028,-66.038796 18.451766,-66.039698 18.452112,-66.042208 18.450891,-66.043667 18.450158,-66.044805 18.449547,-66.053023 18.450667,-66.053173 18.446616,-66.054139 18.443156,-66.054353 18.442097,-66.046972 18.438433,-66.045491 18.437191,-66.046264 18.435319,-66.049847 18.436072,-66.05328 18.437598,-66.058602 18.438331,-66.060125 18.437843,-66.060683 18.435939,-66.060426 18.435176,-66.059567 18.435013,-66.059246 18.435237))
MT- 2							ROUTE								POLYGON((-66.158359 18.396006,-66.156492 18.3957,-66.152822 18.395537,-66.150591 18.395497,-66.147844 18.395293,-66.146063 18.39515,-66.14381 18.394988,-66.1413 18.395436,-66.139111 18.396454,-66.13615 18.397512,-66.133253 18.398612,-66.130378 18.398978,-66.127696 18.398999,-66.124777 18.398856,-66.122267 18.399121,-66.120496 18.399813,-66.11967 18.400617,-66.118748 18.401483,-66.11775 18.402246,-66.116302 18.403081,-66.112493 18.405372,-66.109853 18.406939,-66.109231 18.407092,-66.108545 18.407122,-66.107794 18.407489,-66.107461 18.40811,-66.107032 18.409036,-66.106463 18.409647,-66.105723 18.410115,-66.10436 18.410461,-66.101968 18.411011,-66.099683 18.411826,-66.097108 18.412752,-66.095906 18.4132,-66.094501 18.413424,-66.093063 18.413454,-66.091389 18.413485,-66.089394 18.413546,-66.087312 18.413627,-66.08493 18.413749,-66.082935 18.414228,-66.081926 18.414513,-66.080693 18.415052,-66.079534 18.415643,-66.078161 18.416284,-66.076787 18.416936,-66.074384 18.418086,-66.071863 18.419277,-66.069781 18.420234,-66.068676 18.420651,-66.067711 18.421007,-66.066466 18.421262,-66.064771 18.421608,-66.062657 18.422056,-66.060512 18.422555,-66.058505 18.423114,-66.057143 18.423674,-66.057368 18.42458,-66.057776 18.426534,-66.058076 18.427939,-66.058527 18.430148,-66.058773 18.431217,-66.058838 18.431807,-66.058924 18.433049,-66.058977 18.434341,-66.059074 18.435604,-66.059235 18.437263,-66.059353 18.438046,-66.059621 18.438484,-66.060544 18.439502,-66.061145 18.440285,-66.061767 18.441008,-66.062593 18.441843,-66.063441 18.442545,-66.064234 18.443207,-66.065082 18.443848,-66.065897 18.444489,-66.066831 18.445201,-66.067839 18.445924,-66.068944 18.44683,-66.070307 18.447827,-66.071219 18.448519,-66.072388 18.449394,-66.073386 18.450239,-66.074523 18.450982,-66.075993 18.448652,-66.074931 18.44801,-66.073955 18.44741,-66.073011 18.446789,-66.072088 18.446066,-66.071348 18.445466,-66.070747 18.444988,-66.070221 18.444601,-66.069663 18.444265,-66.06917 18.443949,-66.068526 18.443654,-66.067743 18.443278,-66.066176 18.442626,-66.065243 18.442168,-66.064449 18.441802,-66.06387 18.441334,-66.06329 18.440835,-66.062389 18.439787,-66.061552 18.43881,-66.060501 18.437486,-66.060404 18.437252,-66.060447 18.436489,-66.060715 18.435736,-66.060833 18.434799,-66.060737 18.434006,-66.060597 18.433476,-66.060361 18.432733,-66.060222 18.432224,-66.059707 18.429883,-66.058967 18.426311,-66.058344 18.423674,-66.058516 18.423491,-66.060254 18.423033,-66.064417 18.422056,-66.067389 18.421476,-66.070028 18.420509,-66.072227 18.419562,-66.074395 18.418463,-66.077098 18.417139,-66.079748 18.415867,-66.080811 18.415368,-66.082313 18.414767,-66.083782 18.41435,-66.085295 18.414126,-66.087183 18.414004,-66.08905 18.413994,-66.090853 18.413923,-66.092655 18.413831,-66.094458 18.413811,-66.095927 18.413526,-66.097548 18.412976,-66.099994 18.4121,-66.101624 18.411541,-66.102944 18.411123,-66.103169 18.411245,-66.103545 18.411663,-66.103513 18.412284,-66.103674 18.412711,-66.104146 18.412823,-66.104757 18.412497,-66.105079 18.412192,-66.105455 18.411663,-66.105809 18.411367,-66.106066 18.411093,-66.106098 18.410879,-66.106324 18.410624,-66.106764 18.410268,-66.107214 18.409729,-66.107826 18.408812,-66.10803 18.408466,-66.108233 18.408202,-66.108448 18.407988,-66.108641 18.407825,-66.109081 18.407591,-66.109875 18.407275,-66.110368 18.407031,-66.111924 18.406104,-66.114081 18.404852,-66.116087 18.403621,-66.118447 18.402256,-66.119713 18.401218,-66.120679 18.400261,-66.121323 18.399834,-66.122235 18.399518,-66.122739 18.399386,-66.123683 18.399304,-66.125786 18.399375,-66.12762 18.399426,-66.130431 18.399386,-66.13291 18.399131,-66.134884 18.398469,-66.136665 18.397818,-66.138489 18.397156,-66.139637 18.396759,-66.141386 18.396118,-66.143338 18.395537,-66.144036 18.395436,-66.146128 18.395527,-66.14881 18.395772,-66.150795 18.396016,-66.153584 18.396016,-66.154786 18.396097,-66.155977 18.39627,-66.157822 18.396464,-66.157886 18.397187,-66.158069 18.398724,-66.158391 18.399691,-66.158713 18.400607,-66.158981 18.401605,-66.158809 18.40188,-66.158455 18.40188,-66.157672 18.401697,-66.156095 18.401493,-66.155902 18.401381,-66.155902 18.401167,-66.155837 18.400811,-66.155794 18.400567,-66.155762 18.400455,-66.155741 18.400251,-66.155076 18.400404,-66.154507 18.400577,-66.154593 18.400953,-66.154754 18.401401,-66.154807 18.401778,-66.155526 18.40188,-66.156342 18.40192,-66.157093 18.402063,-66.157962 18.402134,-66.158938 18.402216,-66.1597 18.401992,-66.159399 18.401452,-66.15912 18.40077,-66.158852 18.399946,-66.158595 18.399243,-66.158359 18.39848,-66.158348 18.397309,-66.158251 18.396891,-66.158359 18.396006))
